,0,1,2,3
0,664,525,1066,844
1,35,487,522,957
2,333,152,804,727
3,212,178,876,761
4,13,312,228,483
5,354,116,1026,634
6,256,51,1053,772
7,97,293,703,791
8,37,332,700,904
9,68,69,940,777
10,57,249,687,771
11,435,185,956,644
12,426,658,566,767
13,210,30,1064,722
14,545,458,806,683
15,43,397,696,987
16,436,477,756,735
17,402,226,585,371
18,218,148,556,474
19,412,311,854,851
20,468,768,733,1000
21,244,280,995,875
22,247,26,801,453
23,375,189,642,431
24,164,360,372,531
25,237,30,1046,728
26,235,40,945,616
27,73,149,873,812
28,115,215,936,938
29,280,67,916,563
30,188,268,757,728
31,10,484,354,781
32,299,90,1002,725
33,798,547,1060,758
34,72,539,323,738
35,94,148,755,785
36,62,311,515,864
37,159,253,353,423
38,166,103,524,387
39,297,46,1054,630
40,647,94,1015,427
41,24,180,707,741
42,167,173,1032,919
43,82,324,315,513
44,231,22,1029,683
45,164,140,676,591
46,49,142,652,612
47,391,306,980,783
48,107,115,758,677
49,261,344,680,722
50,687,89,1057,387
51,627,323,794,456
52,633,369,1017,739
53,519,368,725,620
54,384,25,855,438
55,556,116,791,302
56,9,8,1076,831
57,82,151,862,857
58,66,408,438,713
59,54,19,873,725
60,56,210,883,882
61,478,522,965,925
62,297,662,668,989
63,589,615,1001,936
64,147,273,543,594
65,102,416,639,879
66,592,585,844,812
67,236,186,696,557
68,138,340,487,617
69,262,300,723,745
70,405,209,792,682
71,106,586,381,827
72,69,102,981,824
73,172,282,538,565
74,243,304,757,769
75,379,601,796,943
76,106,432,582,842
77,117,140,1018,872
78,329,837,520,995
79,373,102,953,613
80,74,246,675,715
81,233,281,812,749
82,441,769,681,976
83,763,141,1002,357
84,269,66,830,519
85,547,561,649,642
86,127,284,736,871
87,206,704,467,1023
88,219,247,881,828
89,367,430,862,822
90,120,136,995,811
91,327,147,837,609
92,572,73,871,318
93,76,396,575,826
94,523,228,717,385
95,585,588,930,874
96,25,17,1023,896
97,745,368,1067,619
98,107,333,840,926
99,224,641,464,848
100,444,46,922,477
101,357,312,769,644
102,712,757,943,940
103,421,150,847,561
104,56,115,645,835
105,245,245,945,859
106,481,144,1060,602
107,373,473,763,774
108,211,293,888,906
109,115,157,890,794
110,382,590,847,991
111,64,200,825,818
112,37,410,425,732
113,99,76,944,821
114,448,135,970,542
115,487,194,923,547
116,77,267,411,555
117,333,77,1001,680
118,108,228,889,858
119,680,44,991,290
120,571,434,1030,877
121,107,308,708,1043
122,347,66,839,498
123,360,232,1057,784
124,7,-24,1106,824
125,186,340,728,831
126,159,174,882,768
127,188,267,575,601
128,55,36,971,780
129,137,158,923,810
130,635,557,988,868
131,622,237,1020,548
132,733,684,1067,954
133,567,347,846,587
134,194,480,400,666
135,59,80,734,625
136,501,86,811,332
137,333,610,642,908
138,534,421,965,948
139,11,749,228,939
140,141,49,1054,772
141,9,3,1107,850
